date,천지연폭포,천제연폭포,중문대포 주상절리대,정방폭포,산방산.용머리,감귤박물관
18-Jun,127651,52837,113730,75037,35403,8075
18-Jul,118456,48264,91021,64844,20456,8685
18-Aug,138664,52012,102362,84634,16137,10246
18-Sep,123038,48611,72860,72860,26281,9053
18-Oct,136348,54191,142106,76274,52686,10496
18-Nov,103725,40085,104415,54077,38850,9278
18-Dec,76851,30140,73809,46205,28962,23154
19-Jan,79290,32685,76590,50018,42705,11474
19-Feb,86019,35115,82022,51423,35030,10549
19-Mar,101259,41862,107474,70452,58181,7910
19-Apr,128873,52541,139784,75412,62879,5678
19-May,142454,48699,140289,74079,64403,11098
19-Jun,113574,50957,100402,68707,42988,7191
19-Jul,107009,48979,79517,63963,30841,9722
19-Aug,134507,55238,93375,84022,30838,8918
19-Sep,100430,43266,86015,60323,23018,7769
19-Oct,140915,62051,132231,76416,38301,12351
19-Nov,108609,43215,95689,57675,34297,16155
19-Dec,80254,34852,73888,46227,33765,17762
20-Jan,84330,35931,80133,49461,42049,16540
20-Feb,42516,17106,34499,29234,29717,4274
20-Mar,38163,13976,25181,21422,33657,236
20-Apr,35018,12444,22874,19637,33225,0
20-May,64014,22472,41529,37408,36082,0
20-Jun,56104,21884,36527,33860,18542,474
20-Jul,69072,30524,44443,44430,28369,1706
20-Aug,89311,35457,57215,63137,25711,2570
20-Sep,49432,15367,34814,34853,13856,91
20-Oct,78902,28101,61404,52391,47147,1508
20-Nov,77150,27363,68083,49426,42784,4573
20-Dec,31424,13054,30284,23935,27815,1741
21-Jan,22416,9607,21627,16691,6843,1583
21-Feb,42358,16934,39632,28025,12730,2345
21-Mar,57071,24352,49526,37543,16888,1650
21-Apr,84989,32717,64703,52664,23745,2996
21-May,89379,35130,66385,56131,33659,3909
